RUN	examples.performance.StatusTest	statustest	1660618066933	 	3.7.4
USER	Get Application Status	START	1660618076023
REQUEST		GET /user/get/62faae60194d7a50e482b5c7	1660618076033	1660618076040	OK	 
USER	Get Application Status	END	1660618076040
USER	Get Application Status	START	1660618076054
REQUEST		GET /user/get/62faae60194d7a50e482b5c7	1660618076062	1660618076067	OK	 
USER	Get Application Status	END	1660618076067
USER	Get Application Status	START	1660618076086
REQUEST		GET /user/get/62faae60194d7a50e482b5c7	1660618076093	1660618076099	OK	 
USER	Get Application Status	END	1660618076100
USER	Get Application Status	START	1660618076117
REQUEST		GET /user/get/62faae60194d7a50e482b5c7	1660618076128	1660618076137	OK	 
USER	Get Application Status	END	1660618076138
USER	Get Application Status	START	1660618076149
REQUEST		GET /user/get/62faae60194d7a50e482b5c7	1660618076160	1660618076170	OK	 
USER	Get Application Status	END	1660618076171
USER	Get Application Status	START	1660618076180
REQUEST		GET /user/get/62faae60194d7a50e482b5c7	1660618076190	1660618076199	OK	 
USER	Get Application Status	END	1660618076201
USER	Get Application Status	START	1660618076210
USER	Get Application Status	START	1660618076256
REQUEST		GET /user/get/62faae60194d7a50e482b5c7	1660618076220	1660618076268	OK	 
USER	Get Application Status	END	1660618076269
REQUEST		GET /user/get/62faae60194d7a50e482b5c7	1660618076268	1660618076285	OK	 
USER	Get Application Status	END	1660618076287
USER	Get Application Status	START	1660618076287
REQUEST		GET /user/get/62faae60194d7a50e482b5c7	1660618076297	1660618076305	OK	 
USER	Get Application Status	END	1660618076306
USER	Get Application Status	START	1660618076317
REQUEST		GET /user/get/62faae60194d7a50e482b5c7	1660618076326	1660618076335	OK	 
USER	Get Application Status	END	1660618076336
USER	Get Application Status	START	1660618076348
REQUEST		GET /user/get/62faae60194d7a50e482b5c7	1660618076359	1660618076365	OK	 
USER	Get Application Status	END	1660618076366
USER	Get Application Status	START	1660618076379
REQUEST		GET /user/get/62faae60194d7a50e482b5c7	1660618076388	1660618076394	OK	 
USER	Get Application Status	END	1660618076395
USER	Get Application Status	START	1660618076411
REQUEST		GET /user/get/62faae60194d7a50e482b5c7	1660618076419	1660618076427	OK	 
USER	Get Application Status	END	1660618076428
USER	Get Application Status	START	1660618076458
USER	Get Application Status	START	1660618076490
